suburb,tier,latitude,longitude,distance_to_cbd_km,bedrooms,bathrooms,size_sqm,plot_size_sqm,house_age,has_pool,has_borehole,has_solar,walled,price_usd
Mt Pleasant,premium,-17.779116824742786,31.022799481175383,6.23,4,4,340,2435,9,1,1,0,1,619960.65
Mufakose,township,-17.908829221661076,30.96027811766188,12.46,3,2,82,379,38,0,0,0,1,42795.05
Highlands,upper-mid,-17.79573135236152,31.07328579809018,4.93,4,3,229,1255,22,0,1,0,1,398496.34
Marlborough,middle,-17.77471015303749,30.953989938962554,11.49,3,3,120,549,32,0,1,0,1,192451.94
Budiriro,township,-17.933556092729752,30.946797056269173,15.43,1,1,106,253,10,0,0,0,1,30514.48
Borrowdale,premium,-17.737629592410496,31.09974350196617,11.89,4,4,341,2082,21,1,1,0,1,650507.41
Marlborough,middle,-17.77820879302668,30.942286833667072,12.36,4,3,200,915,22,0,0,0,1,232182.88
Marlborough,middle,-17.778197111848055,30.948983061874134,11.74,3,3,101,675,32,0,1,0,0,194176.46
Mabelreign,middle,-17.812848596940245,30.99784516270217,5.38,6,6,201,984,24,0,0,0,1,171250.62
Greendale,upper-mid,-17.79134537092125,31.13628832907857,10.62,2,2,235,895,11,0,1,0,1,323613.72
Greendale,upper-mid,-17.788470331934732,31.132991390714757,10.45,2,1,259,1348,20,0,1,0,1,338978.43
Ballantyne Park,premium,-17.76269712412112,31.0741522442765,8.2,3,2,324,1093,17,1,1,0,1,410190.86
Hatfield,middle,-17.87586891366853,31.082297645394217,6.36,4,4,227,1455,27,0,1,0,0,151580.43
Mabelreign,middle,-17.802799355177413,30.99586269926665,6.07,1,1,96,610,30,0,1,0,1,88449.64
Mt Pleasant,premium,-17.773961687953886,31.02557583603876,6.67,2,2,248,1833,32,0,0,0,1,343533.87
Greendale,upper-mid,-17.791513937087476,31.13420610837369,10.41,1,1,233,937,6,0,0,0,0,318301.05
Glen View,township,-17.926604908038165,30.97512742835078,12.95,2,2,101,703,4,0,0,0,1,49177.37
Borrowdale,premium,-17.74604231017794,31.100148627213894,11.11,4,3,247,1028,35,1,1,1,1,706084.52
Vainona,upper-mid,-17.78111039949491,31.07991992230294,6.67,3,3,231,951,0,1,0,0,1,373298.88
Marlborough,middle,-17.786258008432046,30.95319579843762,10.92,2,1,236,1238,31,0,0,1,1,198375.95
Vainona,upper-mid,-17.778561148017438,31.08444342773842,7.17,3,3,204,1193,20,0,1,1,1,324228.68
Vainona,upper-mid,-17.780867463814808,31.075301581926084,6.43,7,6,243,1302,17,0,1,0,1,538014.83
Avondale,upper-mid,-17.795930249506945,31.029317583256216,4.24,3,2,248,1515,38,0,1,0,1,269437.73
Ballantyne Park,premium,-17.758012566207114,31.085462308021842,9.18,1,1,360,2434,18,1,1,1,1,401057.93
Marlborough,middle,-17.775447271616677,30.95210207091916,11.61,1,1,193,502,19,0,1,1,0,201614.62
Belvedere,middle,-17.852413678349716,31.02043696040419,3.53,5,5,90,408,46,0,1,0,1,155340.98
Avonlea,middle,-17.77304833857216,30.988351085758854,8.8,3,3,184,1415,8,0,1,0,1,223788.01
Glen Lorne,premium,-17.742948149236096,31.166665408649607,16.18,3,2,448,2787,17,1,1,1,1,632108.67
Mabelreign,middle,-17.811421725181084,31.00260706412486,4.99,4,3,141,952,16,0,0,0,1,151745.55
Ballantyne Park,premium,-17.762067838004246,31.081086075005633,8.56,2,2,355,1718,27,1,1,1,1,465276.24
Hatfield,middle,-17.87587972931676,31.08198390597731,6.34,1,1,222,998,32,0,1,0,1,117233.88
Greendale,upper-mid,-17.78437961442587,31.122254352815602,9.68,2,1,240,1775,23,1,1,1,1,330569.52
Mabelreign,middle,-17.811816347936173,30.998722386844904,5.34,3,3,192,1011,37,0,0,1,1,132498.57
Highlands,upper-mid,-17.78941229462644,31.067245475654463,5.19,5,4,367,1593,37,0,1,1,1,557096.94
Ballantyne Park,premium,-17.75999257131052,31.085748265624986,9.0,6,6,399,2257,20,1,0,0,1,658449.25
Marlborough,middle,-17.785810615734476,30.951757764597268,11.08,1,1,137,843,7,0,0,0,1,171913.48
Borrowdale,premium,-17.740026144112043,31.10697551536443,12.06,1,1,389,2175,39,1,1,0,1,434532.23
Highlands,upper-mid,-17.78977454754692,31.081175906831476,5.97,2,2,367,1776,14,0,1,0,1,385419.44
Hatfield,middle,-17.872184559047508,31.09194702709809,6.76,4,4,121,725,19,0,0,0,1,136796.33
Mabelreign,middle,-17.812121973685688,30.994524212120723,5.74,3,2,183,697,20,0,0,1,1,140044.27
Glen Lorne,premium,-17.746224908219588,31.17851242980757,16.99,3,3,333,2381,33,0,1,1,1,509834.57
Mufakose,township,-17.905462102299026,30.964075296080896,11.91,1,1,74,243,19,0,0,0,1,39679.15
Mabelreign,middle,-17.810367631802333,30.998732833508477,5.41,4,3,157,852,8,0,0,1,1,157077.1
Mufakose,township,-17.91521330232164,30.962057331780276,12.83,1,1,77,467,38,0,0,0,1,31748.03
Belvedere,middle,-17.852088916332548,31.01719258047026,3.76,7,6,146,795,39,0,1,0,1,214096.53
Belvedere,middle,-17.847668562275643,31.021482807491292,3.1,4,3,226,1255,22,0,0,1,1,180304.11
Marlborough,middle,-17.78112101286355,30.954775669757204,11.05,4,4,200,1280,26,0,1,0,1,257300.64
Belvedere,middle,-17.845876634039687,31.024205274451717,2.75,4,3,205,1319,32,0,0,1,1,210844.28
Glen View,township,-17.933909232868686,30.966450829949938,14.14,2,1,80,310,21,0,0,0,0,37800.35
Mt Pleasant,premium,-17.78638055027463,31.021145131855565,5.57,4,3,289,1472,9,1,1,1,1,522496.12
Vainona,upper-mid,-17.78702801468149,31.0775126044333,5.98,5,5,225,1104,6,0,1,1,1,551987.08
Glen Lorne,premium,-17.741433305567355,31.18192763290142,17.59,2,2,364,2033,15,0,1,1,1,587275.7
Kambuzuma,township,-17.86014970929416,30.96166026694056,9.4,1,1,109,521,17,0,0,0,1,34657.58
Avondale,upper-mid,-17.794799299240314,31.03553831131751,4.15,1,1,212,820,17,0,0,1,1,256046.05
Belvedere,middle,-17.857739821320397,31.027168560551615,3.52,3,3,169,1270,0,0,0,0,1,167930.03
Mabelreign,middle,-17.807712023213707,30.992880831094492,6.09,4,3,107,200,16,0,0,1,0,124606.53
Budiriro,township,-17.933944075030443,30.9380193733873,16.1,1,1,40,215,19,0,0,0,0,28753.45
Ballantyne Park,premium,-17.765466226451718,31.080938730267153,8.22,2,1,291,927,22,1,1,0,1,358241.98
Mabelreign,middle,-17.803062426366893,30.997266439650076,5.93,5,4,136,651,38,0,0,0,1,125636.32
Mufakose,township,-17.908471561991018,30.963326244036587,12.2,4,4,92,606,5,0,0,0,1,52890.1
Glen Lorne,premium,-17.742502090409015,31.176372612598524,17.04,3,2,403,1884,29,0,1,1,1,511617.92
Hatfield,middle,-17.872095372432344,31.086562574782423,6.34,4,3,257,1171,29,0,0,0,1,159863.32
Greendale,upper-mid,-17.79505097087716,31.13666325706153,10.49,5,4,257,1879,26,1,1,0,1,438168.81
Belvedere,middle,-17.855001808891146,31.02258611707376,3.57,5,4,195,979,25,0,0,1,0,228155.23
Marlborough,middle,-17.782437228345145,30.943997708970937,11.98,2,1,196,200,16,0,0,0,1,211536.33
Highlands,upper-mid,-17.79424658377946,31.06757781469253,4.73,3,3,253,1530,22,0,1,0,1,471806.4
Mt Pleasant,premium,-17.78198992399653,31.026934759397136,5.78,3,3,478,2966,24,0,1,1,1,551680.03
Mt Pleasant,premium,-17.77861048314663,31.01946796809179,6.42,1,1,435,1763,32,0,0,1,0,352703.71
Mt Pleasant,premium,-17.79286612648211,31.01591143798093,5.24,6,5,375,2032,22,1,1,1,1,654543.86
Belvedere,middle,-17.849783118980316,31.022420468563684,3.17,3,2,189,1307,28,0,0,1,1,172398.7
Greendale,upper-mid,-17.788853786047298,31.128874394160835,10.04,4,4,225,1169,23,0,0,0,1,403029.88
Highlands,upper-mid,-17.790432078797295,31.060813347926185,4.81,7,6,311,1740,23,0,1,1,1,584045.5
Belvedere,middle,-17.850729618146488,31.01865323830467,3.55,3,3,172,837,31,0,0,0,1,153247.04
Belvedere,middle,-17.84886081621658,31.028261445622856,2.66,7,6,153,895,12,0,1,0,1,252059.69
Marlborough,middle,-17.78216718928293,30.959532974762034,10.55,2,2,166,427,48,0,0,1,1,180338.46
Kambuzuma,township,-17.861323508107745,30.954682908735677,10.14,2,1,107,583,14,0,0,0,0,35452.59
Greendale,upper-mid,-17.787606045555176,31.13065541651868,10.27,3,3,211,1320,18,0,1,0,1,366453.78
Mabelreign,middle,-17.812600371606322,31.005411424155195,4.66,3,3,124,454,29,0,1,1,1,108930.57
Glen Lorne,premium,-17.747115608370958,31.18121628138457,17.18,6,6,438,2090,19,0,1,0,1,758983.38
Hatfield,middle,-17.87549593596434,31.08809512482145,6.73,4,3,174,600,3,0,1,1,1,179403.43
Budiriro,township,-17.938727942283,30.934790131449436,16.72,2,2,55,200,25,0,0,0,0,29080.9
Mabelreign,middle,-17.808080215405287,30.99480098480773,5.89,8,6,160,247,46,0,1,0,1,173803.51
Avonlea,middle,-17.77280900361051,30.994347674322356,8.4,3,3,265,1429,28,0,1,0,1,240963.26
Avonlea,middle,-17.76596679841292,30.99220311687877,9.14,2,1,168,873,17,0,1,0,1,185262.57
Greendale,upper-mid,-17.78763522185909,31.12745945152378,9.97,8,6,226,1257,3,0,0,1,1,568217.11
Belvedere,middle,-17.84936249378496,31.024417700681475,2.99,3,3,201,1112,18,0,0,0,1,160577.61
Hatfield,middle,-17.87007732752021,31.09449852996721,6.81,1,1,153,550,25,0,0,0,1,86433.62
Budiriro,township,-17.943932598912323,30.946254352714973,16.34,1,1,94,643,31,0,0,0,1,26744.21
Marlborough,middle,-17.780213873916654,30.94657178318331,11.85,5,5,176,837,10,0,0,1,1,279257.46
Glen Lorne,premium,-17.744271155963663,31.173933741515906,16.71,5,5,356,1111,24,1,1,1,1,632439.05
Avonlea,middle,-17.77425399554347,30.99923940359093,7.96,3,3,198,1526,20,0,1,1,1,245934.74
Mt Pleasant,premium,-17.77667825333493,31.0245189707352,6.42,2,2,487,2742,35,0,1,0,1,420532.69
Highlands,upper-mid,-17.79436959304314,31.062204171298404,4.46,1,1,183,1193,21,0,1,0,1,316921.86
Vainona,upper-mid,-17.775191675373737,31.069792308789904,6.74,3,3,245,1687,26,0,1,1,1,418625.12
Hatfield,middle,-17.86888548796434,31.090734767672977,6.42,3,2,262,933,24,0,1,0,1,141947.93
Ballantyne Park,premium,-17.76440800805438,31.083264623193127,8.44,5,5,507,4205,27,0,1,1,1,589469.64
Ballantyne Park,premium,-17.75658102260019,31.080419280089064,9.09,3,2,328,2726,10,0,1,1,1,431155.63
Borrowdale,premium,-17.73951531005211,31.108128719494065,12.17,3,2,279,1308,3,0,0,0,1,640351.13
Mufakose,township,-17.916366253183245,30.96228224965795,12.91,3,3,40,286,34,0,1,0,1,38081.47
Belvedere,middle,-17.852597440554145,31.014071540051482,4.06,4,3,218,729,15,0,1,0,1,202284.49
Borrowdale,premium,-17.73720536327846,31.093898953350177,11.64,2,1,307,1260,20,1,1,1,1,547068.02
Borrowdale,premium,-17.740715436077725,31.096114428801155,11.41,4,3,382,3093,24,0,1,1,1,710695.38
Marlborough,middle,-17.78808009522939,30.951563324455623,10.98,2,1,138,964,10,0,0,0,1,192679.02
Vainona,upper-mid,-17.780430663507776,31.074576365054373,6.44,2,1,230,945,24,1,1,0,1,314280.66
Avonlea,middle,-17.772282633020914,30.99059686296133,8.71,5,5,151,879,10,0,1,0,1,294265.42
Avondale,upper-mid,-17.786123023251097,31.03197236160578,5.18,3,3,166,795,15,0,1,1,1,335549.53
Glen View,township,-17.93570789801414,30.969144384064347,14.14,4,3,59,200,19,0,0,0,0,36641.95
Vainona,upper-mid,-17.78282895584648,31.079605614612287,6.49,1,1,288,1543,20,1,1,0,1,363193.25
Belvedere,middle,-17.859960716296467,31.019151693672082,4.23,4,3,246,1375,12,0,0,0,1,216532.37
Glen Lorne,premium,-17.747970485913644,31.174173349205514,16.5,4,4,280,1483,27,0,1,0,1,583978.21
Kambuzuma,township,-17.862388773427764,30.96357425525581,9.3,3,2,100,483,18,0,0,1,1,45201.99
Budiriro,township,-17.937706557502512,30.933706345265158,16.72,3,3,101,275,14,0,1,0,0,43432.05
Hatfield,middle,-17.86904580505084,31.09064127328368,6.42,3,3,214,1035,0,0,1,0,1,172968.79
Avondale,upper-mid,-17.79625959042518,31.03013441820368,4.17,5,4,245,1606,11,1,1,1,1,433172.16
Highlands,upper-mid,-17.793432674319686,31.085675236496993,6.0,6,6,170,1008,44,0,1,0,1,449071.3
Mabelreign,middle,-17.812205825815084,30.98886153134092,6.3,3,2,169,776,4,0,0,0,1,118972.29
Hatfield,middle,-17.864932084919122,31.089296064253265,6.02,2,2,165,551,21,0,1,0,1,129669.96
Highlands,upper-mid,-17.78846075324168,31.065794197551742,5.22,3,2,318,1027,32,0,1,1,1,379376.32
Avondale,upper-mid,-17.78659999912798,31.027263290778944,5.28,1,1,305,1630,15,1,0,0,1,225848.06
Avondale,upper-mid,-17.787016755635683,31.034720447180035,5.01,6,6,129,659,4,0,0,0,1,417330.38
Mabelreign,middle,-17.816062923864905,30.99008617266367,6.05,1,1,157,636,28,0,1,1,1,91322.76
Belvedere,middle,-17.84675441987887,31.02557011707069,2.7,8,6,219,1054,32,0,0,0,1,252295.19
Belvedere,middle,-17.845654618177157,31.018158459796823,3.28,3,2,163,336,15,0,1,1,1,167747.46
Belvedere,middle,-17.850552350739537,31.016033739628078,3.76,2,2,91,580,25,0,0,0,0,137982.61
Vainona,upper-mid,-17.78436512959187,31.082096300504283,6.5,1,1,204,1176,34,0,1,1,1,226391.22
Greendale,upper-mid,-17.791135466904922,31.12960378088599,9.99,2,1,179,634,19,0,1,0,1,281924.51
Borrowdale,premium,-17.742287293360896,31.09909767343361,11.41,5,4,288,1078,28,0,0,1,1,666452.42
Mabelreign,middle,-17.80823913144996,30.996351804199445,5.74,2,2,131,920,3,1,0,0,1,143672.56
Avondale,upper-mid,-17.78738365383701,31.02398944665616,5.34,4,4,139,897,7,0,1,1,1,366661.79
Avondale,upper-mid,-17.787834343263274,31.03223256459384,4.99,4,4,245,1005,17,0,1,1,1,324572.81
Highlands,upper-mid,-17.787537639585242,31.075869991256138,5.83,3,2,183,1176,0,0,1,0,1,461274.48
Highlands,upper-mid,-17.793263214472116,31.07049301742161,4.99,1,1,289,1753,8,0,1,1,1,373803.92
Avonlea,middle,-17.770317935960662,30.992743964369794,8.73,1,1,278,1746,3,0,0,0,0,213005.71
Highlands,upper-mid,-17.789521204432653,31.07177465595565,5.41,3,2,245,1005,61,1,1,0,1,325870.65
Glen Lorne,premium,-17.74493777856282,31.176786839559288,16.92,3,3,357,2312,17,1,1,0,1,624342.25
Hatfield,middle,-17.868316300082036,31.086795269987256,6.07,3,3,186,660,19,0,1,1,1,134279.55
Greendale,upper-mid,-17.78933560913116,31.1301271288623,10.13,4,3,136,515,36,0,0,0,1,318015.4
Greendale,upper-mid,-17.790495875599568,31.1109499053428,8.31,1,1,207,1094,32,0,1,0,1,276169.17
Avondale,upper-mid,-17.788690509818036,31.02859262306978,5.02,2,2,240,826,20,0,0,0,1,262492.23
Mabelreign,middle,-17.810538278461873,30.99116024124409,6.14,2,1,90,400,4,0,0,0,1,108649.38
Vainona,upper-mid,-17.779052016519692,31.081951487232203,6.98,1,1,138,532,25,0,0,0,1,276708.37
Hatfield,middle,-17.869809115642227,31.09044236969192,6.46,1,1,203,848,24,0,1,0,1,127716.43
Kambuzuma,township,-17.854760636232317,30.964208094713687,8.95,2,2,117,520,20,0,0,0,0,40661.68
Belvedere,middle,-17.852337902648383,31.01360183425643,4.08,1,1,210,1319,18,0,1,1,1,169402.29
Avondale,upper-mid,-17.78909934983987,31.02713734517864,5.03,4,4,246,984,35,1,0,1,1,338061.5
Hatfield,middle,-17.87210385200708,31.0851405401263,6.24,3,3,161,851,17,0,0,0,0,149915.94
Avondale,upper-mid,-17.787018338625124,31.031484157805135,5.1,2,1,263,1246,1,0,1,1,1,277246.86
Greendale,upper-mid,-17.792664545046524,31.127136738302504,9.68,1,1,269,1097,9,0,1,0,1,310271.04
Marlborough,middle,-17.779093481527013,30.94810619311117,11.77,5,4,195,759,14,0,0,0,1,302781.61
Vainona,upper-mid,-17.7747869391302,31.082084920040803,7.38,3,3,201,1273,4,0,1,0,1,420494.6
Mt Pleasant,premium,-17.784259514018224,31.016652844838113,6.0,3,2,360,2778,12,1,0,0,1,466966.74
Avondale,upper-mid,-17.7916450142111,31.027643814076313,4.75,1,1,326,1595,0,1,1,0,1,348498.46
Mt Pleasant,premium,-17.78079675947368,31.02307670797027,6.05,1,1,315,1964,26,1,1,1,1,386503.04
Greendale,upper-mid,-17.79122153804044,31.141096045626398,11.09,6,6,266,1122,11,1,1,0,1,559125.0
Marlborough,middle,-17.77173053817783,30.947094844678187,12.28,3,3,196,777,29,0,0,0,1,217026.77
Kambuzuma,township,-17.861168657682327,30.9576186956315,9.84,1,1,70,384,13,0,0,0,1,32200.5
Borrowdale,premium,-17.73688866890529,31.092830718275707,11.63,6,5,490,2549,19,1,1,1,1,874583.18
Avonlea,middle,-17.767284618215417,31.00337710578398,8.34,4,3,146,747,21,0,1,0,1,242488.11
Avondale,upper-mid,-17.792170001409406,31.02621595835657,4.75,4,4,228,1418,39,1,1,0,1,323149.91
Borrowdale,premium,-17.742579363575725,31.10486535595384,11.7,4,3,442,3055,27,1,1,1,1,741934.32
Highlands,upper-mid,-17.784079180138253,31.073896285980144,6.05,3,2,200,751,15,0,1,0,1,388204.13
Mt Pleasant,premium,-17.781186580236312,31.019907761534572,6.14,3,2,397,1809,29,0,1,1,1,421600.91
Highlands,upper-mid,-17.796145812063045,31.066346978993234,4.49,4,4,372,1539,18,0,1,0,0,509383.28
Vainona,upper-mid,-17.782779560707084,31.07573674387326,6.27,4,4,210,1511,1,1,1,0,1,427365.84
Greendale,upper-mid,-17.797840287537863,31.131413071732027,9.86,5,4,241,1127,12,0,0,0,1,399586.09
Marlborough,middle,-17.776057904322908,30.947390079479156,12.0,3,2,246,1130,15,0,1,0,1,247967.62
Borrowdale,premium,-17.738222803294164,31.093950782266237,11.55,4,4,407,2532,20,1,1,1,1,851311.48
Ballantyne Park,premium,-17.762212203400964,31.08101177997348,8.55,5,4,511,2580,28,0,1,1,1,572017.91
Glen Lorne,premium,-17.74996915929935,31.17792505986047,16.71,3,3,411,1202,31,1,1,0,1,545303.31
Marlborough,middle,-17.78054919872165,30.953946716015572,11.15,2,2,204,936,19,0,0,1,1,189225.13
Vainona,upper-mid,-17.780961871958894,31.07734590747116,6.53,2,1,283,1581,18,0,1,0,1,308481.31
Marlborough,middle,-17.772180032362527,30.95044539171779,11.96,5,5,122,567,29,0,1,1,1,304595.51
Highlands,upper-mid,-17.792482619883373,31.06658134373656,4.85,1,1,241,924,34,1,1,0,1,331544.79
Borrowdale,premium,-17.740698569291183,31.096483479275616,11.43,4,4,214,1695,0,1,1,0,1,795707.53
Kambuzuma,township,-17.857113000372472,30.969982286767532,8.45,2,2,111,855,10,0,0,0,0,39605.12
Mt Pleasant,premium,-17.77998751895126,31.016978334278665,6.4,4,3,348,1705,0,1,1,1,0,542455.93
Mt Pleasant,premium,-17.780937936105467,31.02833867764548,5.84,3,2,277,1765,35,0,1,0,1,422298.2
Ballantyne Park,premium,-17.761098179611867,31.08481794887936,8.84,3,3,384,1866,17,1,1,1,1,505093.15
Budiriro,township,-17.937895789241583,30.940262671841275,16.25,1,1,86,257,22,0,0,0,0,28060.25
Avonlea,middle,-17.768278608485065,30.98966639710857,9.11,2,2,151,654,23,0,0,1,1,219756.98
Avonlea,middle,-17.766328031039933,30.976055348130828,10.25,4,4,145,749,15,0,1,0,1,274432.35
Budiriro,township,-17.93948098974714,30.93344397600867,16.88,1,1,82,515,44,0,0,0,0,23828.5
Glen Lorne,premium,-17.74342935736877,31.178894938930984,17.2,2,1,400,1911,16,1,1,1,1,542881.14
Budiriro,township,-17.936646094201375,30.939314087289052,16.22,3,2,97,467,24,0,0,0,1,33929.85
Highlands,upper-mid,-17.790442827003528,31.07260015236084,5.37,2,2,257,1230,3,1,0,1,1,401669.99
Avonlea,middle,-17.766621230902075,30.994588423983846,8.93,3,3,209,1107,13,0,1,0,1,243357.74
Avondale,upper-mid,-17.78854145074797,31.023277334274248,5.25,2,2,289,1559,15,1,0,1,1,329899.21
Greendale,upper-mid,-17.79221603136686,31.126403809207407,9.64,3,3,287,1249,25,0,1,1,0,316846.89
Kambuzuma,township,-17.863123425983556,30.960191837912564,9.66,3,3,74,335,9,0,0,0,1,48723.84
Ballantyne Park,premium,-17.76007333809751,31.086420242825927,9.02,4,4,377,1771,10,1,1,1,1,495858.42
Budiriro,township,-17.929771636333083,30.933235514373745,16.14,1,1,90,613,16,0,0,0,0,30700.24
Greendale,upper-mid,-17.782206136507973,31.12584026843915,10.13,6,5,218,1014,18,1,1,1,1,527939.45
Belvedere,middle,-17.85131724117654,31.028412489498855,2.86,4,3,125,776,28,0,1,0,1,190863.58
Budiriro,township,-17.943456626611447,30.940267167074534,16.71,1,1,76,300,2,0,0,0,1,32747.72
Glen Lorne,premium,-17.740147506086327,31.178145588536957,17.34,2,2,423,2569,35,1,1,1,1,484300.63
Glen View,township,-17.92944116358304,30.972509034634445,13.37,3,2,60,231,10,0,0,0,1,46270.83
Avonlea,middle,-17.769971780121523,30.98868442514576,9.03,1,1,213,1288,28,0,1,0,1,181291.79
Belvedere,middle,-17.852727836615163,31.01240030029926,4.21,2,1,149,699,6,0,0,0,1,162011.02
Ballantyne Park,premium,-17.75939256462081,31.075244383649164,8.58,4,4,344,1428,11,0,0,0,1,571976.35
Marlborough,middle,-17.779208031248817,30.950832057156347,11.51,2,1,204,1794,35,0,0,0,1,173044.07
Belvedere,middle,-17.85280541228135,31.02274185428565,3.38,4,4,150,845,30,0,1,0,1,202075.11
Avondale,upper-mid,-17.793693014689982,31.031103212751756,4.4,3,2,200,937,34,0,1,0,1,231247.85
Ballantyne Park,premium,-17.762289745696748,31.08512596461603,8.74,3,2,362,1711,9,1,1,1,1,469685.79
Highlands,upper-mid,-17.797200642020385,31.072428506038115,4.75,4,4,216,952,35,0,0,0,1,402193.96
Mufakose,township,-17.910656547668122,30.94855818728028,13.51,1,1,63,374,27,0,0,0,1,37043.17
Borrowdale,premium,-17.742123270804296,31.10147438081356,11.55,3,2,427,2147,21,1,1,0,1,639247.56
Hatfield,middle,-17.868904053699044,31.091031836250043,6.44,5,4,147,469,24,1,1,0,1,176387.35
Budiriro,township,-17.942667706894035,30.93472259020296,17.04,3,3,70,395,32,0,1,0,0,35468.66
Borrowdale,premium,-17.743398184107203,31.1048694831559,11.62,4,4,322,1390,27,0,0,1,1,531591.31
Ballantyne Park,premium,-17.76205996318961,31.08539364087507,8.78,1,1,181,1052,35,1,1,1,1,379854.1
Belvedere,middle,-17.85117071982171,31.025674686327577,3.04,4,4,153,574,14,0,0,0,1,222894.06
Glen Lorne,premium,-17.745109514348297,31.180513908603356,17.24,3,2,480,1770,41,1,1,1,1,600031.63
Avonlea,middle,-17.773795297759897,30.994842308806625,8.29,3,2,157,679,20,0,0,0,1,184444.83
Belvedere,middle,-17.850874719914657,31.01371047693173,3.98,5,5,98,296,31,0,1,0,1,190204.45
Avonlea,middle,-17.776841803856183,30.983466883782295,8.87,4,4,236,1239,30,0,1,0,1,264767.53
Greendale,upper-mid,-17.782032378693177,31.13382896353242,10.87,2,1,217,1471,11,1,1,0,1,320470.76
Belvedere,middle,-17.853689583097506,31.023506200728967,3.4,2,2,147,635,0,0,0,1,1,180962.03
Avonlea,middle,-17.76749055579248,30.985789695365906,9.44,3,2,236,1237,28,0,1,0,1,223321.68
Highlands,upper-mid,-17.79026006774552,31.074249499948838,5.49,5,4,244,1590,27,0,1,0,1,448749.21
Avonlea,middle,-17.771411956817293,30.98607381020319,9.1,3,2,206,1188,27,0,0,0,0,173093.66
Mufakose,township,-17.914081032518556,30.953876292168765,13.35,5,4,109,528,35,0,0,0,0,44813.3
Belvedere,middle,-17.84281596319609,31.01990087853957,2.96,3,2,171,1006,43,0,1,0,1,136884.19
Avondale,upper-mid,-17.7879494089342,31.024953199309735,5.24,4,3,263,1580,12,0,0,1,1,366873.74
Vainona,upper-mid,-17.78013202272913,31.074485732560483,6.46,4,4,143,535,7,1,0,0,1,364035.3
Glen Lorne,premium,-17.73930524050277,31.18092666643742,17.64,4,4,304,1830,13,0,0,1,1,615014.42
Highlands,upper-mid,-17.790937907840338,31.059152248729035,4.7,3,3,293,1898,25,0,0,0,1,322060.02
Borrowdale,premium,-17.739378605499667,31.1071529945991,12.13,4,3,424,2569,20,1,1,1,1,776048.18
Budiriro,township,-17.93916213355294,30.947749972779416,15.83,7,6,60,306,25,0,0,0,1,51827.53
Highlands,upper-mid,-17.791825899523218,31.068729168815832,5.03,2,2,266,1229,43,0,1,0,1,302330.14
Mabelreign,middle,-17.811127816210675,31.00178189963549,5.08,3,2,145,686,24,1,1,0,1,136178.3
Ballantyne Park,premium,-17.762669447236014,31.074589005723194,8.22,5,4,296,811,4,1,1,1,1,519398.98
Vainona,upper-mid,-17.773904668694467,31.076675519634836,7.18,3,2,240,730,27,0,1,0,1,291524.99
Avondale,upper-mid,-17.795174850937432,31.032942746865146,4.18,7,6,275,1711,15,0,1,1,1,453263.05
Vainona,upper-mid,-17.78398467002564,31.07574568306067,6.16,1,1,325,1320,5,1,1,0,1,363015.32
Mabelreign,middle,-17.806363668969887,31.00630261894905,4.93,3,2,150,714,26,0,0,0,0,117205.04
Kambuzuma,township,-17.85520401700602,30.960881710205552,9.3,1,1,94,329,35,0,0,0,1,27193.42
Mufakose,township,-17.915869637398277,30.95623352908551,13.32,3,3,40,254,32,0,0,0,0,38475.9
Ballantyne Park,premium,-17.764190028786423,31.0779157820051,8.21,4,4,397,1898,19,1,1,1,1,551694.63
Hatfield,middle,-17.869525347924984,31.0903854883931,6.44,4,3,122,980,21,0,0,0,1,127977.82
Ballantyne Park,premium,-17.764440524663804,31.082719372577543,8.41,4,4,381,1115,17,1,1,0,1,526823.21
Glen View,township,-17.927229548449702,30.973706456805182,13.09,1,1,139,459,16,0,0,0,0,29190.16
Marlborough,middle,-17.781966402492536,30.946632834047634,11.75,4,4,207,748,21,0,0,0,1,258417.64
Vainona,upper-mid,-17.788676104226,31.07657397757395,5.77,6,6,311,517,18,0,0,1,1,434588.46
Ballantyne Park,premium,-17.766008735202497,31.086565815727337,8.46,5,4,512,2659,38,0,1,0,1,466594.82
Borrowdale,premium,-17.738380624230178,31.100733291674025,11.87,4,4,387,1969,40,1,1,1,1,677553.13
Highlands,upper-mid,-17.79038550435248,31.063348789962916,4.92,7,6,378,1863,44,0,1,0,1,572272.42
Glen View,township,-17.925905304111808,30.96718427985138,13.39,4,3,40,219,34,0,0,0,1,39383.07
Mabelreign,middle,-17.806723573302076,30.997949253654767,5.67,4,3,212,1196,2,0,1,0,1,158573.67
Budiriro,township,-17.940986682244795,30.944873826527264,16.18,3,2,74,200,26,0,0,0,1,34546.61
Mt Pleasant,premium,-17.775577727290845,31.02424685986994,6.54,2,1,220,631,30,1,1,1,1,373771.36
Avonlea,middle,-17.770354444890167,30.985122946699903,9.26,5,5,273,1371,2,0,1,0,1,331562.58
Highlands,upper-mid,-17.788173771409966,31.068196182443604,5.36,2,2,287,1350,5,0,1,0,1,372170.22
Marlborough,middle,-17.78369559055508,30.95492547548064,10.89,2,2,165,520,3,0,0,0,0,219695.08
Vainona,upper-mid,-17.785219310554798,31.078581470289677,6.21,1,1,352,1489,25,0,1,0,1,315684.55
Vainona,upper-mid,-17.78019381243825,31.076871837418256,6.58,3,2,196,1141,14,0,1,1,1,399164.76
